table_name,record_count,earliest_record,latest_record
users,11,2025-07-14 21:16:54.733,2025-08-27 16:05:48.635562
maya_chats,355,2025-07-14 15:43:12.605245,2025-09-01 21:16:27.458981
maya_chat_messages,1132,2025-07-17 18:51:53.959825,2025-09-01 21:16:27.643515
user_models,4,2025-07-31 17:46:07.613004,2025-09-01 18:43:18.307501
subscriptions,8,2025-07-15 19:01:20.435671,2025-07-20 16:39:56.341211
ai_images,439,2025-07-15 17:38:48.958095,2025-09-01 18:59:56.310601
